rank,id,name,singer,album
1,1938019501,靠近 (Live),袁娅维TIA RAY,为歌而赞第二季 第2期
2,1817366242,不要对我说再见,沈梦Music,不要对我说再见
3,1813041013,如果你要走，请告诉我,冯泳,如果你要走，请告诉我
4,1805088448,大雾,未知音素,大雾 
5,1467948248,Exile,Josh Rabenold,Exile
6,1460414089,信封,悟胖Wupun,信封
7,1458164576,Behind the Clouds,yaeow,Behind the Clouds
8,1445247246,病变,睡不饱的老笨蛋,关于冬天的纪念
9,1417878051,Pretty Girl,NILBEROB_柏林,Pretty Girl
10,1410647903,带我去找夜生活,告五人,带我去找夜生活
11,1382623765,爱的回归线,俞佳乐（猫桑）,爱的回归线
12,1313102149,RIP,Croosh,RIP
13,863424055,XXXTentacion,Haiwee,Sad ( 吉他版 ）
14,573690973,观潮,苏世超,海口记
15,571338636,walls,sapientdream,walls
16,565794655,午夜心碎俱乐部2.0,大D(DLyn),午夜心碎俱乐部2.0
17,553817982,失眠,Lil Chaos,失眠
18,551339267,sexy as from before,scaredkrow,sexy as from before
19,528272229,中毒,光泽,中毒
20,517565384,ＷＡＩＴＩＮＧ,TRA$H,ＷＡＩＴＩＮＧ
21,516571913,寂寞先生,马英伦,寂寞先生
22,502797556,对,陳梦嘉,No，it's me
23,501133798,Jocelyn Flores,XXXTENTACION,17
24,486999661,莫妮卡,柳爽,生长
25,475479888,在你的身边,盛哲,在你的身边
26,446154100,所爱,曾雪雅,17
27,444356814,i hate u i love u,Biscuits,i hate u i love u (Cover)
28,440403866,This Is What You Came For,Boyce Avenue,"Cover Sessions, Vol. 4"
29,440403855,Closer,Boyce Avenue,"Cover Sessions, Vol. 4"
30,404184492,I'll Be Waiting...,Pearl,I'll Be Waiting...
31,35678973,非正常励志歌,齐一,这个年纪
32,34828457,Love Me Like You Do,Boyce Avenue,"Cover Sessions, Vol. 4"
33,1940770243,遥远的她,毛不易,声生不息 第1期
34,1940359497,龙吟,张杰,为你而歌·致敬中国航天
35,1940291798,寰宇,林渝植Anoryz,寰宇
36,1938306786,征途,周深,征途
37,1923502284,离开郑州的日子,Zyboy忠宇,离开郑州的日子
38,1922919268,日落分享家,Zyboy忠宇,日落分享家
39,1919868796,郑州的生活,Zyboy忠宇,郑州的生活
40,1906266117,Made for Mermaid,橘子海 (Orange Ocean),Made for Mermaid
41,1906232662,Sona,橘子海 (Orange Ocean),EXCEL
42,1906232661,lady1st,橘子海 (Orange Ocean),EXCEL
43,1879616242,only look at me 纯享版,Rosie,only look at me 纯享版
44,1878698259,十二,橘子海 (Orange Ocean),十二
45,1875941511,假面舞会,很美味,假面舞会
46,1872930613,是耿耿于怀,romantic,风继续吹
47,1870653196,唱给我的短发女孩,AM阿军,我的女孩
48,1865217232,我怀念的-改版,艺人 48414645,我怀念的改版
49,1840198276,Peaches (Acoustic Ver.),Harryan Yoonsoan,Harryan Yoonsoan Cover Playlist 1 (Acoustic Ver.)
50,1833848187,How to...,橘子海 (Orange Ocean),How to…
51,1827600686,还是会想你,林达浪,还是会想你
52,1815068457,FLOWER✿,Youngior,FLOWER
53,1809938285,Leave Me Alone / Calling My Phone,Disciplinaries,Leave Me Alone / Calling My Phone
54,1807799505,唯一,告五人,运气来得若有似无
55,1488403784,别说不堪,程安,别说不堪
56,1486316620,Turns,Lionzed,Turns
57,1476879471,你好不好,ukakakaxxl,你好不好
58,1475436266,若是没有身份吃醋都要把握分寸,孟琦,若是没有身份吃醋都要把我分寸
59,1465292956,梦游,赖仔Morris,梦游
60,1462913210,梵高曾经对我说,橘子海 (Orange Ocean),梵高曾经对我说
61,1458717405,Hindenburg Lover,Anson Seabra,Hindenburg Lover
62,1450718554,放肆爱,于贞,放肆爱
63,1449416890,所以你睡了没,沙一汀EL,所以你睡了没
64,1444242241,温热蝙蝠日记Acoustic,柳戈,温热蝙蝠日记
65,1443101955,呓语,AKA_wen酱,呓语&当你
66,1432178626,0318呓语(1),2Clan,呓语
67,1421716072,ღ,小韓烔學,忽然之间
68,1419457616,山海,劉,山海
69,1418880409,红豆,陈奕辰Kane,红豆
70,1413863166,想去海边,夏日入侵企画,想去海边
71,141290,门没锁,品冠,门没锁
72,1404906595,没有理由,杨胖雨,没有理由
73,1403318151,把回忆拼好给你,王贰浪,把回忆拼好给你
74,1395222212,梦醒,handsome lau,梦醒
75,1394963332,你应该很快乐,虎二,你应该很快乐
76,1391101614,后继者,苏晗,后继者
77,1388961671,the remedy for a broken heart (why am I so in love),XXXTENTACION,? (Deluxe)
78,1388433823,Bleeding Love,HEST,Bleeding Love
79,1387537788,Lay Down,Sarah Proctor,Lay Down
80,1383943253,起床气（Remember Me）,橘子海 (Orange Ocean),浪潮上岸 (Tears In Ocean)
81,1374413287,Say Goodbye,SNØW,Say Goodbye
82,1359818052,夏日漱石 (Summer Cozy Rock),橘子海 (Orange Ocean),浪潮上岸 (Tears In Ocean)
83,1359815265,Alpha,橘子海 (Orange Ocean),浪潮上岸 (Tears In Ocean)
84,1359815264,有暖气 (You Nuan Chi),橘子海 (Orange Ocean),浪潮上岸 (Tears In Ocean)
85,1358276770,真没睡,姜云升,真没睡
86,1355757673,我们俩,冲矢昴,1+1=2
87,1352912738,Honesty,大喜,Honesty(cover)
88,1351743204,问,占二曦,问
89,1336864842,i know you so well,timmies,i know you so well
90,1331157283,Orange Ocean,橘子海 (Orange Ocean),浪潮上岸 (Tears In Ocean)
